site,title,instructor,description,url,price,tags,rating,thumbnail_url,is_package,is_free,enrollment_count
인프런,[실전 게임 코드 리뷰] 유니티 클리커 게임,Rookiss,,https://www.inflearn.com/course/%EC%8B%A4%EC%A0%84%EA%B2%8C%EC%9E%84-%EC%BD%94%EB%93%9C%EB%A6%AC%EB%B7%B0-%EC%9C%A0%EB%8B%88%ED%8B%B0-%ED%81%B4%EB%A6%AC%EC%BB%A4,40000,"게임 프로그래밍,게임 개발,unity,중급이상",5.0,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,스프링 MVC 1편 - 백엔드 웹 개발 핵심 기술,김영한,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-mvc-1,90000,"백엔드,웹 개발,mvc,spring,초급",4.975543478260869,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,스프링 핵심 원리 - 기본편,김영한,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-%ED%95%B5%EC%8B%AC-%EC%9B%90%EB%A6%AC-%EA%B8%B0%EB%B3%B8%ED%8E%B8,80000,"백엔드,웹 개발,spring,객체지향,초급",4.977296542088718,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,배워서 바로 쓰는 SQL 쿼리,Joe,,https://www.inflearn.com/course/%EC%8B%A4%EB%AC%B4-sql,54000,"데이터 분석,데이터베이스,데이터 사이언스,sql,입문",4.861788617886178,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,[개정판] 딥러닝 컴퓨터 비전 완벽 가이드,권 철민,,https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%EC%BB%B4%ED%93%A8%ED%84%B0%EB%B9%84%EC%A0%84-%EC%99%84%EB%B2%BD%EA%B0%80%EC%9D%B4%EB%93%9C,110000,"인공지능,데이터 사이언스,머신러닝,tensorflow,python,딥러닝,keras,컴퓨터 비전,중급이상",4.910714285714286,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part4: 게임 서버,Rookiss,,https://www.inflearn.com/course/%EC%9C%A0%EB%8B%88%ED%8B%B0-mmorpg-%EA%B0%9C%EB%B0%9C-part4,80000,"게임 프로그래밍,백엔드,게임 개발,c#,unity,네트워크,중급이상",4.94,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,프로그래밍 시작하기 : 파이썬 입문 (Inflearn Original),인프런,,https://www.inflearn.com/course/%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%9E%85%EB%AC%B8-%EC%9D%B8%ED%94%84%EB%9F%B0-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90,30000,"프로그래밍 언어,python,입문",4.730117340286832,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,함수형 프로그래밍과 JavaScript ES6+,유인동,,https://www.inflearn.com/course/functional-es6,50000,"프로그래밍 언어,웹 개발,프론트엔드,javascript,함수형 프로그래밍,초급",4.904761904761905,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,스프링 기반 REST API 개발,백기선,,https://www.inflearn.com/course/spring_rest-api,90000,"백엔드,spring,rest api,java,중급이상",4.719387755102041,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,모두를 위한 모두의 EVM 블록체인 BApp 개발 - 입문,야매코더,,https://www.inflearn.com/course/%EB%AA%A8%EB%91%90%EC%9D%98-evm-%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8-bapp-%EA%B0%9C%EB%B0%9C,90000,"블록체인,교양,기타,블록체인,smart contract,nft,입문",0.0,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
